,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
422,04/11/2023,04/11/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-73.02,
423,04/07/2023,04/09/2023,DD DOORDASH PANERABRE,Food & Drink,Sale,-53.53,
424,04/07/2023,04/09/2023,ANNTAYLOR LOFT.COM #,Shopping,Sale,-47.7,
425,04/06/2023,04/07/2023,TEN FRIENDS BLOW DRY AND,Health & Wellness,Sale,-66.0,
426,04/06/2023,04/07/2023,CASEYS FOODS,Groceries,Sale,-46.51,
427,04/06/2023,04/07/2023,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-20.74,
428,04/06/2023,04/06/2023,Payment Thank You - Web,,Payment,4814.77,
429,04/05/2023,04/06/2023,RITUAL (RITUAL.COM),Groceries,Sale,-39.29,
430,04/01/2023,04/03/2023,EVEREVE - ,Shopping,Sale,-94.82,
431,04/02/2023,04/03/2023,GLO NAIL LOUNGE,Personal,Sale,-140.0,
432,03/30/2023,04/02/2023,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-235.86,
433,04/01/2023,04/02/2023,LOFT MAIN ST PROMEN,Shopping,Sale,-186.57,
434,04/01/2023,04/02/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-107.71,
435,03/31/2023,04/02/2023,KIDSNIPS,Personal,Sale,-27.0,
436,03/30/2023,03/31/2023,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-19.44,
437,03/28/2023,03/29/2023,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
438,03/23/2023,03/26/2023,HOMEDEPOT.COM,Home,Sale,-188.51,
439,03/24/2023,03/26/2023,DD DOORDASH DASHMART,Food & Drink,Sale,-28.48,
440,03/24/2023,03/26/2023,SEPHORA.COM,Shopping,Sale,-251.81,
441,03/23/2023,03/24/2023,The NOW Massage,Health & Wellness,Sale,-200.0,
442,03/21/2023,03/23/2023,OFFICE DEPOT #,Shopping,Sale,-14.0,
443,03/22/2023,03/23/2023,TST* NOTHING BUNDT CAKES,Food & Drink,Sale,-41.51,
444,03/22/2023,03/23/2023,DD DOORDASH DASHMART,Food & Drink,Sale,-19.59,
445,03/21/2023,03/22/2023,LABCORP,Health & Wellness,Sale,-48.31,
446,03/19/2023,03/20/2023,DD DOORDASH EVERDINES,Food & Drink,Sale,-71.69,
447,03/18/2023,03/19/2023,DD DOORDASH LITTLECAE,Food & Drink,Sale,-23.94,
448,03/17/2023,03/19/2023,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-310.0,
449,03/18/2023,03/19/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-88.2,
450,03/17/2023,03/19/2023,DD DOORDASH POKEBROS,Food & Drink,Sale,-49.49,
451,03/16/2023,03/17/2023,DD DOORDASH NICKSREDH,Food & Drink,Sale,-73.16,
452,03/16/2023,03/16/2023,DD DOORDASH ELLIESDEL,Food & Drink,Sale,-40.47,
453,03/14/2023,03/15/2023,USPS PO ,Shopping,Sale,-1.69,
454,03/14/2023,03/15/2023,VENUS.COM,Shopping,Return,45.85,
455,03/13/2023,03/15/2023,HOMEGOODS #,Shopping,Return,140.06,
456,03/14/2023,03/15/2023,MCDONALD'S F,Food & Drink,Sale,-9.78,
457,03/13/2023,03/14/2023,GLO NAIL LOUNGE,Personal,Sale,-60.0,
458,03/13/2023,03/14/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-96.88,
459,03/11/2023,03/12/2023,WHOLEFDS NPV ,Groceries,Sale,-9.59,
460,03/11/2023,03/12/2023,HOMEGOODS #,Shopping,Sale,-521.39,
461,03/10/2023,03/12/2023,CASEYS FOODS,Groceries,Sale,-23.02,
462,03/10/2023,03/10/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-61.9,
463,03/09/2023,03/10/2023,TST* LACEY - CAFE,Food & Drink,Sale,-3.82,
464,03/09/2023,03/10/2023,FLOOR AND DECOR ,Home,Sale,-1.19,
465,03/09/2023,03/10/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-76.61,
466,03/08/2023,03/09/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-24.98,
467,03/08/2023,03/08/2023,Payment Thank You - Web,,Payment,1000.0,
468,03/07/2023,03/08/2023,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-58.66,
469,03/07/2023,03/07/2023,COST PLUS WLD ECOMM,Home,Sale,-462.12,
470,03/06/2023,03/07/2023,RITUAL (RITUAL.COM),Groceries,Sale,-39.29,
471,03/05/2023,03/06/2023,SERAPHINE LTD,Shopping,Sale,-100.42,
472,03/04/2023,03/05/2023,LE CHOCOLAT DU BOUCHARD,Food & Drink,Sale,-21.6,
473,03/01/2023,03/03/2023,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-201.43,
474,03/02/2023,03/03/2023,DD DOORDASH SWEETGREE,Food & Drink,Sale,-22.23,
475,02/27/2023,03/01/2023,AMERICAN AIR,Travel,Sale,-100.0,
476,02/28/2023,03/01/2023,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
477,02/28/2023,03/01/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-91.27,
478,02/28/2023,03/01/2023,CHICAGO O'HARE INTERNA,Home,Sale,-7.0,
479,02/25/2023,02/27/2023,WATERWAY CAFE,Food & Drink,Sale,-109.54,
480,02/25/2023,02/27/2023,STARBUCKS STORE ,Food & Drink,Sale,-12.45,
481,02/26/2023,02/27/2023,DD DOORDASH DUFFYSSPO,Food & Drink,Sale,-86.29,
482,02/24/2023,02/26/2023,PUBLIX #,Groceries,Sale,-91.17,
483,02/19/2023,02/20/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-61.45,
484,02/19/2023,02/20/2023,TRADER JOE S #,Groceries,Sale,-29.25,
485,02/19/2023,02/20/2023,GLO NAIL LOUNGE,Personal,Sale,-130.0,
486,02/17/2023,02/19/2023,TST* LACEY - CAFE,Food & Drink,Sale,-4.65,
487,02/18/2023,02/19/2023,MADEWELL.COM,Shopping,Sale,-97.74,
488,02/18/2023,02/19/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-110.45,
489,02/15/2023,02/16/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-106.14,
490,02/14/2023,02/15/2023,VENUS.COM,Shopping,Sale,-298.41,
491,02/13/2023,02/14/2023,DD DOORDASH BUFFALOWI,Food & Drink,Sale,-126.72,
492,02/13/2023,02/13/2023,DD DOORDASH EGGHARBOR,Food & Drink,Sale,-49.8,
493,02/12/2023,02/13/2023,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-34.83,
494,02/12/2023,02/13/2023,DD DOORDASH TANAKARAM,Food & Drink,Sale,-115.23,
495,02/10/2023,02/12/2023,JEWEL OSCO ,Groceries,Sale,-22.92,
496,02/10/2023,02/12/2023,DD DOORDASH PANERABRE,Food & Drink,Sale,-53.31,
497,02/10/2023,02/10/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-52.38,
498,02/09/2023,02/10/2023,TST* LACEY - CAFE,Food & Drink,Sale,-13.13,
499,02/09/2023,02/10/2023,TST* LACEY - CAFE,Food & Drink,Sale,-3.27,
500,02/08/2023,02/08/2023,Payment Thank You - Web,,Payment,3316.76,
501,02/06/2023,02/07/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-49.57,
502,02/06/2023,02/06/2023,DD DOORDASH PANDAEXPR,Food & Drink,Sale,-19.88,
503,02/03/2023,02/05/2023,GLO NAIL LOUNGE,Personal,Sale,-60.0,
504,02/03/2023,02/05/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-48.53,
505,02/03/2023,02/05/2023,CASEYS FOODS,Groceries,Sale,-59.06,
506,02/02/2023,02/03/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-23.59,
507,01/29/2023,01/30/2023,DOORDASH*LAZY DOG,Food & Drink,Sale,-129.62,
508,01/28/2023,01/29/2023,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
509,01/24/2023,01/25/2023,WALMART.COM,Shopping,Sale,-33.97,
510,01/24/2023,01/25/2023,CONTAINERSTORE.COM,Shopping,Sale,-93.46,
511,01/23/2023,01/24/2023,WALGREENS #,Health & Wellness,Sale,-8.63,
512,01/23/2023,01/24/2023,BIG LITTLE FEELINGS,Education,Sale,-123.0,
513,01/18/2023,01/18/2023,AMERICAN AIR,Travel,Sale,-799.8,
514,01/16/2023,01/18/2023, - NORTH LAKE SH,Travel,Sale,-90.0,
515,01/18/2023,01/18/2023,AMERICAN AIR,Travel,Sale,-799.8,
516,01/17/2023,01/18/2023,DUPAGE VALLEY ANES LTD,Health & Wellness,Sale,-66.0,
517,01/14/2023,01/15/2023,DD DOORDASH CHEZFRANC,Food & Drink,Sale,-42.55,
518,01/13/2023,01/15/2023,TST* Foxtail,Food & Drink,Sale,-243.13,
519,01/11/2023,01/11/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-60.31,
520,01/09/2023,01/10/2023,GLO NAIL LOUNGE,Personal,Sale,-60.0,
521,01/09/2023,01/09/2023,Payment Thank You - Web,,Payment,2287.23,
