Date,Transaction,Description,Memo,Amount
2024-05-28,DEBIT,AMZN Mktp US*ILM Amzn.com/bill WA,24692164147102658388223; 05942; ; ; ;,-47.08
2024-05-28,DEBIT,AMZN Mktp US*JPNX Amzn.com/bill WA,24692164147102755560773; 05942; ; ; ;,-46.32
2024-05-28,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004148898000051591; 05300; ; ; ;,-393.61
2024-05-28,DEBIT,AMZN Mktp US*LNKMTL Amzn.com/bill WA,24692164146102258421490; 05942; ; ; ;,-8.61
2024-05-28,DEBIT,EVERWASH -- HTTPSEVERWASH PA,24011344145000078368284; 05734; ; ; ;,-35.0
2024-05-28,DEBIT,AMZN Mktp US*QFQDKU Amzn.com/bill WA,24692164145101597567774; 05942; ; ; ;,-81.77
2024-05-29,DEBIT,AMZN Mktp US*IVX Amzn.com/bill WA,24692164149104199802587; 05942; ; ; ;,-37.8
2024-05-29,DEBIT,AMZN Mktp US*MNQRB Amzn.com/bill WA,24692164149104605310704; 05942; ; ; ;,-47.08
2024-05-29,DEBIT,AMZN Mktp US*TICGOZ Amzn.com/bill WA,24692164150104902644892; 05942; ; ; ;,-57.95
2024-05-30,DEBIT,AMAZON.COM*JSB SEATTLE WA,24431064150083749259965; 05942; ; ; ;,-10.97
2024-05-30,DEBIT,AMZN Mktp US*JWEYVX Amzn.com/bill WA,24692164150105289010698; 05942; ; ; ;,-32.31
2024-05-30,DEBIT,BARBER HAUS SHOPS.GETSQUI NY,24492164150000028031026; 07230; ; ; ;,-87.5
2024-05-30,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344150000058576528; 05331; ; ; ;,-14.0
2024-05-30,DEBIT,AMZN Mktp US*DAUV Amzn.com/bill WA,24692164150105486202924; 05942; ; ; ;,-33.38
2024-05-30,DEBIT,AMAZON.COM*JIJN SEATTLE WA,24431064151083347467480; 05942; ; ; ;,-9.69
2024-05-30,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004151898000066007; 05300; ; ; ;,-212.02
2024-05-30,DEBIT,BINNYS BEVERAGE DEPOT NILES IL,24717054151731514910486; 05921; ; ; ;,-32.31
2024-05-30,DEBIT,BINNYS BEVERAGE DEPOT NILES IL,24717054151731514907573; 05921; ; ; ;,-72.9
2024-05-31,DEBIT,TST* SPARROW COFFEE NA Naperville IL,24692164151106065789066; 05812; ; ; ;,-19.84
2024-05-31,DEBIT,AMAZON.COM*JJPPX SEATTLE WA,24431064151083356433746; 05942; ; ; ;,-18.28
2024-05-31,DEBIT,AMAZON.COM*NUACQ SEATTLE WA,24431064151083733203465; 05942; ; ; ;,-19.92
2024-05-31,DEBIT,THE CLEANING AUTHORITY -- IL,24269794151300706582397; 07349; ; ; ;,-229.0
2024-05-31,CREDIT,AMZN Mktp US Amzn.com/bill WA,74692164151106127447872; 05942; ; ; ;,47.08
2024-06-03,DEBIT,URBAN AIR ADVENTURE PA -- TX,24765014153207127551481; 07996; ; ; ;,-39.32
2024-06-03,DEBIT,FSP*BOUNCE HOUSES R US -- IL,24445004153300461257689; 07999; ; ; ;,-428.55
2024-06-03,DEBIT,LUCKY DOG DAYCARE AND -- IL,24251384152030054877482; 05995; ; ; ;,-123.6
2024-06-04,DEBIT,AMZ*Protea Nutrition pay.amazon.co SD,24692164155109830081898; 05499; ; ; ;,-57.3
2024-06-05,CREDIT,PAYMENT THANK YOU,WEB AUTOMTC; ; ; ; ;,123.0
2024-06-05,DEBIT,Amazon.com*EZLPQ Amzn.com/bill WA,24692164156100448192440; 05942; ; ; ;,-18.05
2024-06-05,DEBIT,AMZN Mktp US*NGSB Amzn.com/bill WA,24692164156100523539283; 05942; ; ; ;,-57.99
2024-06-06,DEBIT,AMZN Mktp US*KCQXQ Amzn.com/bill WA,24692164158101785726301; 05942; ; ; ;,-40.65
2024-06-07,DEBIT,AMZN Mktp US*JTV Amzn.com/bill WA,24692164158102216175100; 05942; ; ; ;,-47.08
2024-06-07,DEBIT,THE CLEANING AUTHORITY -- IL,24269794158300697092334; 07349; ; ; ;,-229.0
2024-06-07,DEBIT,KRISERS NAPERVILLE NAPERVILLE IL,24017944159001353460048; 05995; ; ; ;,-101.26
2024-06-10,DEBIT,TARGET WARRENVILLE IL,24164074161091008566052; 05411; ; ; ;,-133.72
2024-06-10,DEBIT,AMZN Mktp US*JMH Amzn.com/bill WA,24692164161104976084352; 05942; ; ; ;,-74.73
2024-06-10,DEBIT,AMZN Mktp US*CTAYA Amzn.com/bill WA,24692164160103786611645; 05942; ; ; ;,-26.93
2024-06-10,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004161898000049456; 05300; ; ; ;,-283.55
2024-06-10,DEBIT,AMZN Mktp US*QGEQ Amzn.com/bill WA,24692164161104368297570; 05942; ; ; ;,-19.38
2024-06-10,DEBIT,Amazon.com*VY Amzn.com/bill WA,24692164161104367248137; 05942; ; ; ;,-32.33
2024-06-10,DEBIT,Amazon.com*DERS Amzn.com/bill WA,24692164161104365909656; 05942; ; ; ;,-22.63
2024-06-10,DEBIT,AMZN Mktp US*RDOCF Amzn.com/bill WA,24692164159102730444338; 05942; ; ; ;,-34.48
2024-06-10,DEBIT,AMZN Mktp US*VRMYT Amzn.com/bill WA,24692164159102920136157; 05942; ; ; ;,-40.95
2024-06-11,DEBIT,AMAZON.COM*CHQH SEATTLE WA,24431064162083318378515; 05942; ; ; ;,-60.28
